cause,age,alpha,beta,gamma,tmrel
IHD,25,150.9834272,0.000765232,0.365173447,2.686600067
IHD,25,9.072712013,0.01902852,0.342274862,3.069169661
IHD,25,5.537854805,0.011068472,0.4650194,3.390421653
IHD,25,75.47461396,0.003071846,0.302073412,3.118601034
IHD,25,23.06455838,0.006064976,0.355358182,2.649850964
IHD,25,16.21137199,0.005312692,0.411292654,4.255464124
IHD,25,200.4790453,0.000670749,0.366311116,4.003836142
IHD,25,7.656939853,0.009096398,0.439877672,5.253020965
IHD,25,26.46883468,0.003034644,0.390449798,3.686929904
IHD,25,130.7246428,0.000726713,0.394226735,3.5071609
IHD,25,38.30560113,0.005682314,0.287219121,5.456682215
IHD,25,43.01610408,0.003299968,0.357915813,5.604144082
IHD,25,147.0575023,0.001112771,0.326323074,3.85497093
IHD,25,90.30880232,0.000625889,0.442120486,4.480050134
IHD,25,19.85628267,0.008704878,0.345891069,5.467510428
IHD,25,13.60802808,0.007147883,0.392298571,4.427161204
IHD,25,22.41722543,0.003365258,0.41385957,4.149008729
IHD,25,136.4911932,0.000686913,0.389692029,5.20437602
IHD,25,31.73102283,0.00302607,0.396464116,4.623871583
IHD,25,8.132917981,0.01089524,0.411624231,4.579897911
IHD,25,7.757278861,0.026711416,0.307147566,2.8760034
IHD,25,8.354032409,0.017124827,0.376378703,5.555850099
IHD,25,6.317575316,0.020212442,0.394521216,5.49819528
IHD,25,14.59725622,0.005865122,0.420569345,5.682584815
IHD,25,5.171052081,0.019185632,0.413197855,3.761946859
IHD,25,21.00097352,0.009132572,0.323116325,3.506599964
IHD,25,4.178056613,0.018024173,0.489490763,3.233475154
IHD,25,86.01495566,0.001521881,0.341934613,5.335984964
IHD,25,20.89238894,0.007739232,0.333594921,5.468200077
IHD,25,25.14010955,0.006770559,0.33717301,5.373817796
IHD,25,321.6624616,0.000232322,0.41549547,5.184461914
IHD,25,30.62550035,0.003478334,0.383579331,3.570159977
IHD,25,93.64712758,0.001303123,0.354972012,3.240028838
IHD,25,84.87378513,0.002716551,0.292633988,4.339887885
IHD,25,10.948458,0.007746964,0.398936131,3.674561543
IHD,25,110.2911592,0.000718703,0.398681018,4.084579639
IHD,25,56.66165019,0.00202817,0.369362519,3.67290655
IHD,25,8.317017047,0.003521595,0.546883826,5.638086809
IHD,25,22.33407142,0.005070261,0.376095728,3.837111362
IHD,25,33.1713474,0.002327206,0.405388364,4.265981029
IHD,25,9.260534696,0.011310274,0.379207655,3.619048829
IHD,25,10.1024412,0.010199727,0.377068745,2.868239852
IHD,25,11.25765852,0.013392129,0.351608724,3.811296348
IHD,25,75.11586326,0.000859752,0.43134167,2.77235631
IHD,25,7.730588252,0.014730951,0.385706429,3.981491625
IHD,25,20.72945595,0.003640785,0.416755281,5.835452197
IHD,25,180.1070572,0.000755669,0.331751464,5.544665601
IHD,25,33.77922598,0.00364499,0.350892693,4.245552727
IHD,25,31.38280077,0.00508674,0.328306925,2.735113081
IHD,25,4.746493396,0.008475021,0.551200142,4.696184769
IHD,25,9.289238618,0.008726014,0.425815507,2.457694871
IHD,25,100.4996724,0.001187479,0.377187049,5.621872273
IHD,25,289.7289126,0.000236937,0.421176993,3.061153986
IHD,25,12.42538034,0.014178344,0.356872103,5.129679837
IHD,25,145.4218924,0.000695238,0.383282982,4.030387934
IHD,25,20.3090756,0.0026067,0.450813678,5.088631848
IHD,25,16.7309606,0.009722358,0.346683576,2.436231392
IHD,25,15.30822518,0.0060107,0.416032956,4.81831554
IHD,25,85.58354658,0.002047771,0.316808754,4.673776018
IHD,25,39.02303305,0.003885408,0.327060842,3.044556699
IHD,25,10.06987999,0.012103657,0.376037765,4.450054702
IHD,25,17.78917878,0.007809055,0.353411412,5.084050681
IHD,25,10.72297586,0.006324324,0.446445483,3.108480887
IHD,25,41.43123848,0.004793265,0.315354649,4.185146198
IHD,25,38.48056747,0.00317299,0.374074318,4.568454805
IHD,25,178.4100467,0.000979752,0.312489027,4.260161684
