FID,province,x,y
3014,黑龙江,122.35,53.55
3021,黑龙江,123.05000000000001,53.55
3022,黑龙江,123.15,53.55
3023,黑龙江,123.25,53.55
3024,黑龙江,123.35,53.55
3025,黑龙江,123.45,53.55
3026,黑龙江,123.55000000000001,53.55
3027,黑龙江,123.65,53.55
3638,黑龙江,121.75,53.45
3639,黑龙江,121.85,53.45
3640,黑龙江,121.95,53.45
3641,黑龙江,122.05000000000001,53.45
3642,黑龙江,122.15,53.45
3643,黑龙江,122.25,53.45
3644,黑龙江,122.35,53.45
3645,黑龙江,122.45,53.45
3646,黑龙江,122.55000000000001,53.45
3647,黑龙江,122.65,53.45
3648,黑龙江,122.75,53.45
3649,黑龙江,122.85,53.45
3650,黑龙江,122.95,53.45
3651,黑龙江,123.05000000000001,53.45
3652,黑龙江,123.15,53.45
3653,黑龙江,123.25,53.45
3654,黑龙江,123.35,53.45
3655,黑龙江,123.45,53.45
3656,黑龙江,123.55000000000001,53.45
3657,黑龙江,123.65,53.45
3658,黑龙江,123.75,53.45
3659,黑龙江,123.85,53.45
3660,黑龙江,123.95,53.45
3661,黑龙江,124.05000000000001,53.45
4261,内蒙古,121.05000000000001,53.35
4264,内蒙古,121.35,53.35
4265,内蒙古,121.45,53.35
4266,黑龙江,121.55000000000001,53.35
4267,黑龙江,121.65,53.35
4268,黑龙江,121.75,53.35
4269,黑龙江,121.85,53.35
4270,黑龙江,121.95,53.35
4271,黑龙江,122.05000000000001,53.35
4272,黑龙江,122.15,53.35
4273,黑龙江,122.25,53.35
4274,黑龙江,122.35,53.35
4275,黑龙江,122.45,53.35
4276,黑龙江,122.55000000000001,53.35
4277,黑龙江,122.65,53.35
4278,黑龙江,122.75,53.35
4279,黑龙江,122.85,53.35
4280,黑龙江,122.95,53.35
4281,黑龙江,123.05000000000001,53.35
4282,黑龙江,123.15,53.35
4283,黑龙江,123.25,53.35
4284,黑龙江,123.35,53.35
4285,黑龙江,123.45,53.35
4286,黑龙江,123.55000000000001,53.35
4287,黑龙江,123.65,53.35
4288,黑龙江,123.75,53.35
4289,黑龙江,123.85,53.35
4290,黑龙江,123.95,53.35
4291,黑龙江,124.05000000000001,53.35
4292,黑龙江,124.15,53.35
4293,黑龙江,124.25,53.35
4294,黑龙江,124.35,53.35
4888,内蒙古,120.75,53.25
4889,内蒙古,120.85,53.25
4890,内蒙古,120.95,53.25
4891,内蒙古,121.05000000000001,53.25
4892,内蒙古,121.15,53.25
4893,内蒙古,121.25,53.25
4894,内蒙古,121.35,53.25
4895,内蒙古,121.45,53.25
4896,内蒙古,121.55000000000001,53.25
4897,黑龙江,121.65,53.25
4898,黑龙江,121.75,53.25
4899,黑龙江,121.85,53.25
4900,黑龙江,121.95,53.25
4901,黑龙江,122.05000000000001,53.25
4902,黑龙江,122.15,53.25
4903,黑龙江,122.25,53.25
4904,黑龙江,122.35,53.25
4905,黑龙江,122.45,53.25
4906,黑龙江,122.55000000000001,53.25
4907,黑龙江,122.65,53.25
4908,黑龙江,122.75,53.25
4909,黑龙江,122.85,53.25
4910,黑龙江,122.95,53.25
4911,黑龙江,123.05000000000001,53.25
4912,黑龙江,123.15,53.25
4913,黑龙江,123.25,53.25
4914,黑龙江,123.35,53.25
4915,黑龙江,123.45,53.25
4916,黑龙江,123.55000000000001,53.25
4917,黑龙江,123.65,53.25
4918,黑龙江,123.75,53.25
4919,黑龙江,123.85,53.25
4920,黑龙江,123.95,53.25
4921,黑龙江,124.05000000000001,53.25
4922,黑龙江,124.15,53.25
4923,黑龙江,124.25,53.25
4924,黑龙江,124.35,53.25
4925,黑龙江,124.45,53.25
4926,黑龙江,124.55000000000001,53.25
4927,黑龙江,124.65,53.25
