year,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
2000,66169846.46,94307745.68,129826086.6,107137338.3,98350544.63,121883012.6,132202492.3,113192308.8,84486805.78,88416927.39,65114953.62,47521805.36,42583135.61,35740988.93,26192563.2,16364853.62,8839603.142,3550851.775,923234.6552,271293.3942
2001,63879218.23,89851359.7,126188989.9,113887391.9,96740705.06,117468271.9,131194953.8,121246777.4,83805596.94,90825433.99,68695675.98,49662960.88,42761282.71,36629506.81,27040152.36,16995880.07,9189120.22,3770476.416,983256.8363,302709.0732
2002,61878195.05,86366317.77,119107899.5,122337897.8,96011751.39,112561333,129689346.2,127307905.2,86464540.74,91435277.8,72267968.64,52388917.29,43044260.39,37488337.35,27803376.85,17690125.77,9534802.003,3985417.603,1046005.622,333983.5627
2003,60051232.46,83213328.66,111401451.4,129182484,97029568.53,107547173.4,127839996.7,130763220,92985223.68,89315712.54,77872780.42,54359344.66,43596218.82,38067869.71,28558137.22,18418693.74,9897190.538,4172776.131,1109173.803,361106.4568
2004,58884063.1,80168802.81,104340539.9,133281664.2,99718782.2,103233570.8,125361938.6,132133497,101615545.2,85797054.08,81453027.62,59250343.31,44272727.31,38166951.79,29574094.53,19187817.84,10301131.84,4290711.731,1178714.432,388290.24
2005,58253466.68,77628521.33,97965703.12,134516609.4,103840971.7,100329344.6,121989967.3,131967363,110634685,82844757.76,86275749.04,62289034.47,45224098.32,38512378.06,30455640.92,19989218.02,10726364.04,4446860.88,1249004.925,419154.081
2006,57920531.32,75779919.93,92710848.87,131294483.3,110579155.4,98471270.09,117670642.7,130982665.4,118450613.9,82244770.15,88625792.26,65758891.84,47352487.26,38860195.35,31360955.15,20812770.25,11198278.68,4635101.181,1331993.352,452424.0372
2007,57928881.3,74261676.12,88405952.54,124486500.3,119034704.2,97464646.1,112789704.5,129522817.4,124295219,84929649.17,89216766.19,69235513.99,50047351.78,39340829.46,32259842.25,21615467.69,11759750.42,4850210.609,1420350.328,488541.276
2008,57966946.27,73436084.01,84473454.93,116900996.2,125960262.3,98191381.87,107748691.7,127723808,127598590.8,91392479.86,87156409.56,74684028.98,52016111.88,40056726.72,32934947.03,22426178.13,12364542.76,5089921.393,1502683.186,524363.7171
2009,57893096.03,73305499.54,80779238.98,109794359.9,130242036.9,100615115.6,103377453.3,125293325.5,128908250,99906539.92,83763142.74,78223677.16,56772284.78,40845831.32,33206777.72,23437553.65,12985618.5,5339548.583,1556942.087,561287.5448
2010,57943809.83,73220949.83,77821624.33,103170996.6,131769312.3,104533517,100408653.5,121956286.1,128783737.1,108792586.9,80947535.89,82976785.88,59738811.42,41839038.34,33676607.09,24298520.99,13596024.86,5582195.882,1620998.826,595037.1185
2011,57908976.17,73084122.73,75872967.26,97437969.42,128938725.7,111143165.2,98483218.21,117640684.8,127927787.5,116488463.3,80425930.75,85360155.2,63118560.93,43868354.1,34100075.6,25125421.12,14186652.45,5828849.404,1691225.808,631129.2843
2012,57340315.82,73300920.92,74389951.7,92602972.48,122535248.9,119531091.4,97421526.89,112749007.3,126643630.3,122255176.9,83096296.46,86040802.11,66510568.54,46368726.18,34593008.2,25907172.79,14765346.23,6128784.48,1770346.622,668512.7321
2013,56853894.27,73439026.72,73622197.05,88181901.51,115291084.1,126445825.7,98115609.84,107701981.9,125038673.6,125543941.9,89441277.69,84161465.11,71780719.93,48146922.98,35267211.46,26513952.02,15411843.38,6497080.675,1869500.617,706077.4701
2014,57286604.14,73352097.01,73516855.03,84087321.47,108432760.9,130743947.9,100518715.5,103332503.9,122802152.9,126887181.6,97761500.11,80991121.28,75238023.18,52494970.25,35983906.19,26823729.37,16261478.28,6931968.224,1985650.188,736117.2534
2015,58743976.53,73108501.86,73411203.93,80830253.52,101976471,132280864.5,104415599.4,100365202.4,119653805.2,126827265.2,106402919.1,78362879.34,79797228.87,55097622.79,36843599.32,27302366.99,16972338.21,7413502.706,2123156.279,778477.8371
2016,59671334.4,72561383.14,73254147.43,78642088.04,96368486.27,129437741.1,110994725.5,98433177.1,115526663.1,126050255.3,113866280.4,77930906.63,82092827.21,58107759.96,38591149.47,27742141.57,17615383.35,7904431.64,2285073.022,830344.248
2017,62004003.92,72114998.28,73460026.06,76954332.85,91633336.01,122996089.2,119344411,97354977.92,110812444.8,124851556.3,119485535.8,80551631.96,82785682.64,61209511.45,40755613.42,28243073.68,18233746.93,8344049.994,2473347.923,889570.2686
