year,endpoint,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
2000,COPD,0.26,0.22,0.17,0.51,1.02,1.89,3.2,4,7.62,16.47,32.02,59.37,161.8,342.69,813.98,1424.77,2658.54,4345.03,6370.94,8941.17
2000,IHD,0,0,0,1.36,3.3,6.35,10.51,13.72,22.02,36.64,49.56,67.71,135.39,238.53,421.73,682.28,1240.72,2290.7,4011.01,6796.48
2000,LC,0,0,0,0.27,0.61,1.66,3.81,6.33,12.67,25.69,39.23,55.21,104.31,164.66,230.4,265.92,280.56,295.88,299.02,325.98
2000,LRI,33.67,6.9,2.43,1.51,1.65,2.01,2.13,1.92,2.42,3.68,5.09,6.94,15.15,27.76,65.17,123.4,316.92,620.29,1129.99,2046.33
2000,NCD+LRI,79.82,32.67,21.8,23.08,36.43,59.73,93.65,119.24,200.75,343.34,489.71,677.7,1286.39,2197.75,3961.54,6133.69,10239.3,16552.56,25454.85,37203.94
2000,Stroke,1.33,1.4,1.02,1.79,3.49,6.38,10.91,16.06,33.61,64.85,102.41,144.33,297.58,543.72,1038.8,1621.11,2659.45,4092.69,5637.67,7505.17
2001,COPD,0.22,0.18,0.14,0.45,0.86,1.5,2.59,3.54,6.84,14.31,30.02,58.38,150.83,315.94,758.36,1337.05,2556.74,4178.15,6066.82,8539.06
2001,IHD,0,0,0,1.28,3.01,5.35,9.06,12.59,21.33,34.02,50.57,72.18,136.31,238.35,434.55,709.01,1326.65,2435.58,4236.45,7161.23
2001,LC,0,0,0,0.25,0.56,1.38,3.26,5.86,12.2,23.92,40.01,58.93,104.67,162.9,235.59,273.75,297.11,310.21,307.35,331.26
2001,LRI,29.65,5.93,2.06,1.33,1.44,1.63,1.75,1.69,2.19,3.2,4.8,6.88,14.14,25.64,60.98,116.37,302.97,600.25,1103.91,2012.99
2001,NCD+LRI,73.83,29.2,19.18,21.56,32.73,50.13,79.7,108.73,191.56,313.32,487.29,706.13,1262.47,2125.01,3882.11,6041.28,10299.17,16557.6,25272.64,37117.8
2001,Stroke,1.26,1.27,0.91,1.66,3.15,5.32,9.3,14.65,32.01,58.72,101.01,149.64,291.84,527.31,1025.1,1615.05,2716.53,4140.97,5649.19,7579.57
2002,COPD,0.18,0.13,0.1,0.41,0.71,1.15,2.05,3.2,6.2,12.37,28.66,58.5,142.7,299.64,710.18,1279.53,2482.87,4050.03,5828.39,8206.02
2002,IHD,0,0,0,1.24,2.62,4.33,7.48,11.78,20.5,31.71,52.59,79.42,140.38,247.71,450.35,753.55,1441.02,2624.22,4516.24,7597.46
2002,LC,0,0,0,0.24,0.49,1.13,2.8,5.6,11.62,22.41,41.16,62.42,103.89,162.63,240.96,286.55,316.78,327.35,317.61,338.33
2002,LRI,25.92,4.5,1.59,1.19,1.21,1.27,1.38,1.52,1.98,2.78,4.6,7,13.4,24.42,57.03,111.64,291.82,582.56,1080.93,1978.58
