FID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
978,29.5,30.4,26.7,28,25,26.4,25.4,29.5,26.5,35.3,20.6,21.5,22,23.8
979,23.4,22.6,20.4,23.5,19.2,19.9,14.5,19.4,18.8,25.4,19.9,17.5,19.2,21.6
1591,25.5,23.7,20.4,24.5,19.8,20,20.1,19.4,18.1,24.3,26.1,23.5,24.2,26.9
1592,23.3,20.3,17.8,21.3,16.6,19,18.5,18.7,16.3,22.1,23.2,21.5,22.1,25
1593,25.4,22.3,20.8,25,19.1,20.1,20.3,22.1,18.7,25,22.3,19.8,23.3,22.3
1594,25.6,23.9,20.4,24.8,19,18.6,17,19.7,16.2,23.8,23.8,21.1,24.2,24.1
1595,23.8,21.8,19.6,21.7,17.2,16.7,16.4,15.8,16.7,22.4,19.7,20,19.9,23.5
1596,20.5,18.8,16.4,19.1,15.7,17,15.3,19,15,21.1,19.6,18.3,17.4,21.4
2205,29.7,30.7,24.7,30.9,25.4,25.4,24.1,26.2,24.2,23,23.5,18.8,22,22.5
2206,28.5,25.6,21.5,27.3,21.9,19.9,17.7,20,17.5,20.5,22.7,20.2,23.5,23.1
