FID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
978,186068.2542,187218.2491,197421.2694,211129.6868,212533.1719,213570.6794,228798.1391,231202.5878,308580.6446,309431.5272,310601.0466,311312.1503,312873.2624,280730.4578
979,16924.8326,17028.0036,14684.6599,13907.3791,14007.372,14073.1057,11019.8073,7086.7588,9462.867,9314.7209,10355.8126,11198.7095,11254.5801,14802.2143
1591,19234.7358,19350.4627,18201.0744,17230.1227,17311.2727,17402.033,13630.5101,13726.7239,18333.4781,18059.4851,18130.8197,19336.9525,19838.5475,63879.4933
1592,7441.1163,7485.9454,7281.8412,6891.2433,6893.5224,6923.0439,5429.6525,5463.0696,7289.2264,7180.4366,7206.7004,7215.8412,7258.8231,11584.0321
1593,10557.9726,10623.5856,9891.9321,9368.9485,9358.3692,9405.1741,7356.6966,7415.7615,9899.4269,9746.2595,9789.5427,9807.4961,9854.236,7837.9622
1594,30696.4959,30887.0916,29348.1487,29852.3182,30264.2939,30417.3957,26365.0514,27317.3788,36461.3965,35905.2364,36038.5943,36118.7809,36300.2128,29015.5134
1595,5983.5572,6023.0585,5373.4201,5088.3603,5076.5783,5102.882,3987.1629,4016.0669,5374.0618,5289.4017,5309.289,5327.4035,5351.3877,4923.9002
1596,3475.9505,3498.8219,3299.663,3128.3545,3101.6827,3111.9544,2439.0263,2456.3504,3280.8134,3226.362,3236.7007,3247.1793,3263.0661,4325.8309
2205,55669.6769,55712.7869,55573.06,55825.9199,56239.7544,56511.4047,56800.5645,46764.0786,44194.3062,44423.0358,44650.7846,44801.9412,45053.888,45874.3537
2206,36650.8011,36867.7768,37354.8471,37609.7511,37824.834,38004.4169,38200.5764,40831.8756,38593.3146,38796.7489,38992.1601,39127.4955,39344.7926,40067.5893
