measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Poland,Both,15-19 years,Ischemic heart disease,Rate,2017,0.12282679309182659,0.14025509636269534,0.10407255824612574
Deaths,Poland,Both,20-24 years,Ischemic heart disease,Rate,2017,0.32593858298471223,0.3775370466847178,0.28662353801561224
Deaths,Poland,Both,25-29 years,Ischemic heart disease,Rate,2017,0.7043567795362097,0.791092247183381,0.6282565223613018
Deaths,Poland,Both,30-34 years,Ischemic heart disease,Rate,2017,2.33247111258192,2.603388149425796,2.0786296375818516
Deaths,Poland,Both,35-39 years,Ischemic heart disease,Rate,2017,5.73590222922957,6.503951042574953,5.086843150643447
Deaths,Poland,Both,40-44 years,Ischemic heart disease,Rate,2017,14.327620903905517,16.419461360774932,12.648684542501304
Deaths,Poland,Both,45-49 years,Ischemic heart disease,Rate,2017,37.483302361696815,43.18157920079318,32.7377066132587
Deaths,Poland,Both,50-54 years,Ischemic heart disease,Rate,2017,71.48425673578973,82.2068996902407,62.53768318988045
Deaths,Poland,Both,55-59 years,Ischemic heart disease,Rate,2017,125.17496503256481,143.34589013202853,109.70730421889391
Deaths,Poland,Both,60-64 years,Ischemic heart disease,Rate,2017,209.54555448533625,236.02267978440338,186.1878340205351
Deaths,Poland,Both,65-69 years,Ischemic heart disease,Rate,2017,329.3773025335658,367.6234131876822,296.1130843331772
Deaths,Poland,Both,70-74 years,Ischemic heart disease,Rate,2017,531.7076903931973,592.5775562174414,476.4527755275051
Deaths,Poland,Both,75-79 years,Ischemic heart disease,Rate,2017,953.0835805751628,1053.1731738437563,855.3812510426337
Deaths,Poland,Both,80-84,Ischemic heart disease,Rate,2017,1925.92777856408,2151.080699829321,1654.3610913630434
Deaths,Poland,Both,85-89,Ischemic heart disease,Rate,2017,3860.3493992228878,4328.805401874653,3180.6547007437903
Deaths,Poland,Both,90-94,Ischemic heart disease,Rate,2017,7103.504544393123,8009.48321576632,5634.870759719591
Deaths,Poland,Both,95+ years,Ischemic heart disease,Rate,2017,12475.759237358925,14193.687921291343,9542.976994148765
Deaths,Poland,Both,<5 years,Stroke,Rate,2017,0.13784929088287817,0.20148025946146253,0.1018494993133458
Deaths,Poland,Both,5-9 years,Stroke,Rate,2017,0.051544872401340494,0.06157599463491221,0.03711123367135712
Deaths,Poland,Both,10-14 years,Stroke,Rate,2017,0.12041046867016297,0.1412269474902072,0.09348596096752539
Deaths,Poland,Both,15-19 years,Stroke,Rate,2017,0.3603974867191661,0.4104219246449562,0.3074387721185997
Deaths,Poland,Both,20-24 years,Stroke,Rate,2017,0.7090587102801584,0.8152751871724061,0.6160551207492554
Deaths,Poland,Both,25-29 years,Stroke,Rate,2017,1.4183457133250381,1.641385833885492,1.224676847571121
Deaths,Poland,Both,30-34 years,Stroke,Rate,2017,2.8988311729768923,3.2652695478973435,2.536943661721208
Deaths,Poland,Both,35-39 years,Stroke,Rate,2017,5.3404147078109965,6.117119536124159,4.656920940284433
Deaths,Poland,Both,40-44 years,Stroke,Rate,2017,10.471629587301083,12.012455873643267,9.168174051861424
Deaths,Poland,Both,45-49 years,Stroke,Rate,2017,20.10950337779375,23.197359896978426,17.464675434526814
Deaths,Poland,Both,50-54 years,Stroke,Rate,2017,34.28022323484737,39.66350516674644,29.71082535823252
Deaths,Poland,Both,55-59 years,Stroke,Rate,2017,57.02706892561296,65.50820774017305,49.67697502403992
Deaths,Poland,Both,60-64 years,Stroke,Rate,2017,98.15938388480188,111.70337528058636,86.97441685134642
Deaths,Poland,Both,65-69 years,Stroke,Rate,2017,164.6592354403331,184.33258833530732,147.0493738724049
Deaths,Poland,Both,70-74 years,Stroke,Rate,2017,275.88007089543675,305.77811904183153,246.17535539604233
Deaths,Poland,Both,75-79 years,Stroke,Rate,2017,497.5000796896577,551.5034062340906,444.12557228550577
Deaths,Poland,Both,80-84,Stroke,Rate,2017,930.8791954918973,1040.3641008573863,795.0066277895476
Deaths,Poland,Both,85-89,Stroke,Rate,2017,1687.0587633439304,1921.7860989505004,1383.541231471074
Deaths,Poland,Both,90-94,Stroke,Rate,2017,2832.0544320444137,3257.5183225745145,2241.4238373947146
Deaths,Poland,Both,95+ years,Stroke,Rate,2017,4489.501511572672,5156.30057721471,3427.4608254935897
Deaths,Lebanon,Both,15-19 years,Ischemic heart disease,Rate,2017,4.056064630144575,6.229696665725536,1.9910344639316313
Deaths,Lebanon,Both,20-24 years,Ischemic heart disease,Rate,2017,7.219994377937253,10.690614245310988,3.6429204541571063
Deaths,Lebanon,Both,25-29 years,Ischemic heart disease,Rate,2017,9.085213486405447,13.679832718947779,4.849809316613615
Deaths,Lebanon,Both,30-34 years,Ischemic heart disease,Rate,2017,16.277466821838935,22.946467966957695,9.674467158294329
Deaths,Lebanon,Both,35-39 years,Ischemic heart disease,Rate,2017,27.439342253716102,35.97218572328113,17.73945278817149
Deaths,Lebanon,Both,40-44 years,Ischemic heart disease,Rate,2017,50.94690100294274,64.62314670464559,35.08251772796389
Deaths,Lebanon,Both,45-49 years,Ischemic heart disease,Rate,2017,98.25265640650817,121.40282847814743,73.05555210518787
Deaths,Lebanon,Both,50-54 years,Ischemic heart disease,Rate,2017,171.10912989175372,210.66063460422825,127.96608532045182
Deaths,Lebanon,Both,55-59 years,Ischemic heart disease,Rate,2017,297.7696110492895,365.12822426183396,226.7850117093239
Deaths,Lebanon,Both,60-64 years,Ischemic heart disease,Rate,2017,521.8606554591693,631.1984655255703,395.8930482395181
Deaths,Lebanon,Both,65-69 years,Ischemic heart disease,Rate,2017,823.2031782871554,971.7859874560118,616.5030167412281
Deaths,Lebanon,Both,70-74 years,Ischemic heart disease,Rate,2017,1327.0813596862931,1554.68895634122,957.8593398525452
Deaths,Lebanon,Both,75-79 years,Ischemic heart disease,Rate,2017,2143.7276150527528,2467.324775849604,1552.1224157497963
Deaths,Lebanon,Both,80-84,Ischemic heart disease,Rate,2017,3579.178480570252,4157.694913114628,2508.8603069035953
Deaths,Lebanon,Both,85-89,Ischemic heart disease,Rate,2017,5643.368058062852,6667.980174965692,3805.360047559704
Deaths,Lebanon,Both,90-94,Ischemic heart disease,Rate,2017,8491.787451343313,10120.470675997605,5703.248522085621
Deaths,Lebanon,Both,95+ years,Ischemic heart disease,Rate,2017,12955.489626251603,15788.444493397017,7951.245087260047
Deaths,Lebanon,Both,<5 years,Stroke,Rate,2017,0.17915653006117171,0.38838475810764683,0.06860961232597104
Deaths,Lebanon,Both,5-9 years,Stroke,Rate,2017,0.06539451319557399,0.13525408053729204,0.028468536207798812
Deaths,Lebanon,Both,10-14 years,Stroke,Rate,2017,0.1526299853282263,0.29050013018578685,0.06960919611360852
Deaths,Lebanon,Both,15-19 years,Stroke,Rate,2017,0.6462528753052644,1.0509191718940105,0.32231529214620724
Deaths,Lebanon,Both,20-24 years,Stroke,Rate,2017,0.9466199634376661,1.5704662440793302,0.47040646890364346
Deaths,Lebanon,Both,25-29 years,Stroke,Rate,2017,1.2765341182333951,2.1822877841387274,0.6502582580954352
Deaths,Lebanon,Both,30-34 years,Stroke,Rate,2017,1.646733068800814,2.717937695598477,0.8849123114646776
Deaths,Lebanon,Both,35-39 years,Stroke,Rate,2017,2.9442527355850125,4.6369505180860315,1.6159297132035457
Deaths,Lebanon,Both,40-44 years,Stroke,Rate,2017,4.851254221808535,7.863133473736437,2.757964063661737
Deaths,Lebanon,Both,45-49 years,Stroke,Rate,2017,7.5557829111156884,11.823899731157612,4.4558666730211165
Deaths,Lebanon,Both,50-54 years,Stroke,Rate,2017,12.320117397104314,19.536172029890842,7.3284521367457005
Deaths,Lebanon,Both,55-59 years,Stroke,Rate,2017,22.134214315414525,32.70679395033449,13.524558662093481
Deaths,Lebanon,Both,60-64 years,Stroke,Rate,2017,40.36447138324556,60.01043146336248,24.341612840211916
Deaths,Lebanon,Both,65-69 years,Stroke,Rate,2017,71.68022088523233,102.86517379586577,44.759294818714956
Deaths,Lebanon,Both,70-74 years,Stroke,Rate,2017,150.30555984951783,213.16182962342052,88.25951898588504
Deaths,Lebanon,Both,75-79 years,Stroke,Rate,2017,327.5820262986002,456.8919212505336,217.92547827515838
Deaths,Lebanon,Both,80-84,Stroke,Rate,2017,660.3030972570618,899.3237603564908,438.1418488789549
Deaths,Lebanon,Both,85-89,Stroke,Rate,2017,1130.9455031723478,1553.504750330387,731.5477206541108
Deaths,Lebanon,Both,90-94,Stroke,Rate,2017,1840.9118480921707,2568.2148925515435,1100.6600364904439
Deaths,Lebanon,Both,95+ years,Stroke,Rate,2017,2696.4889866814447,3756.725714358715,1575.9623401528959
Deaths,Bhutan,Both,<5 years,Lower respiratory infections,Rate,2017,85.42374912322796,137.9237221989427,53.66342749938038
Deaths,Bhutan,Both,5-9 years,Lower respiratory infections,Rate,2017,2.87545616975424,4.872791533433773,1.6019425129983196
Deaths,Bhutan,Both,10-14 years,Lower respiratory infections,Rate,2017,1.3706485245405864,2.195890803481193,0.7573523343452612
