measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,China,Both,15-19 years,Diabetes mellitus type 2,Rate,2002,0.05595106153237798,0.0679349173577654,0.04694695561886198
Deaths,China,Both,20-24 years,Diabetes mellitus type 2,Rate,2002,0.1355507076329235,0.1596576485781486,0.11558669402048877
Deaths,China,Both,25-29 years,Diabetes mellitus type 2,Rate,2002,0.1877300919618057,0.2223993940971787,0.1620084156800741
Deaths,China,Both,30-34 years,Diabetes mellitus type 2,Rate,2002,0.49834112584008655,0.5770912538380985,0.4406729900955028
Deaths,China,Both,35-39 years,Diabetes mellitus type 2,Rate,2002,0.9036850483700369,1.0310346186254378,0.8020689148571931
Deaths,China,Both,40-44 years,Diabetes mellitus type 2,Rate,2002,1.607872204364997,1.8505733257134709,1.4143004233439578
Deaths,China,Both,45-49 years,Diabetes mellitus type 2,Rate,2002,4.5294169940743005,5.02397415826878,4.081674455235252
Deaths,China,Both,50-54 years,Diabetes mellitus type 2,Rate,2002,8.507828381218067,9.484592167374373,7.678868713528706
Deaths,China,Both,55-59 years,Diabetes mellitus type 2,Rate,2002,14.701344670379772,16.47995995096293,13.209599501986736
Deaths,China,Both,60-64 years,Diabetes mellitus type 2,Rate,2002,24.620478689683303,27.35433867185692,22.174699217716164
Deaths,China,Both,65-69 years,Diabetes mellitus type 2,Rate,2002,43.165038871579895,47.55469257280294,39.18865714053217
Deaths,China,Both,70-74 years,Diabetes mellitus type 2,Rate,2002,71.88763932906912,79.50006188784818,65.89307539934074
Deaths,China,Both,75-79 years,Diabetes mellitus type 2,Rate,2002,100.61689562191913,111.04760568835502,92.07117439536225
Deaths,China,Both,80-84 years,Diabetes mellitus type 2,Rate,2002,120.14522771922864,132.50254521926186,108.51337099439945
Deaths,China,Both,85-89 years,Diabetes mellitus type 2,Rate,2002,167.13304810071836,184.08002092139787,148.4488746946141
Deaths,China,Both,90-94 years,Diabetes mellitus type 2,Rate,2002,195.69767183552875,218.17790014881982,168.4979395464965
Deaths,China,Both,95+ years,Diabetes mellitus type 2,Rate,2002,212.93186618048776,239.26598187279146,173.90448040701125
Deaths,China,Both,<5 years,Diarrheal diseases,Rate,2003,18.856471081644255,21.3036132687219,16.381981714306566
Deaths,China,Both,5-9 years,Diarrheal diseases,Rate,2003,0.44113951241421046,0.6844921320350889,0.22918273725630847
Deaths,China,Both,10-14 years,Diarrheal diseases,Rate,2003,0.19578773982259765,0.31024331403904765,0.10416640630381699
Deaths,China,Both,15-19 years,Diarrheal diseases,Rate,2003,0.13267706096408574,0.22055540001490367,0.07194941113550606
Deaths,China,Both,20-24 years,Diarrheal diseases,Rate,2003,0.13718979210796453,0.2312983076655449,0.07578679062409573
Deaths,China,Both,25-29 years,Diarrheal diseases,Rate,2003,0.14900620051703614,0.24587232532622832,0.08581110279924467
Deaths,China,Both,30-34 years,Diarrheal diseases,Rate,2003,0.19958360094042465,0.32200938371646765,0.11133423988111849
Deaths,China,Both,35-39 years,Diarrheal diseases,Rate,2003,0.21542213142143388,0.36166414357300375,0.12324502375923065
Deaths,China,Both,40-44 years,Diarrheal diseases,Rate,2003,0.26556582151633235,0.4562928093047916,0.15645167742221538
Deaths,China,Both,45-49 years,Diarrheal diseases,Rate,2003,0.3409891186429178,0.5659366201768957,0.2035353590058056
Deaths,China,Both,50-54 years,Diarrheal diseases,Rate,2003,0.4715629581966147,0.8031552828109731,0.2694022244012752
Deaths,China,Both,55-59 years,Diarrheal diseases,Rate,2003,0.6964195783091259,1.1725527375879392,0.40050143126702503
Deaths,China,Both,60-64 years,Diarrheal diseases,Rate,2003,1.0272895139211298,1.736287438775226,0.5994348056543196
Deaths,China,Both,65-69 years,Diarrheal diseases,Rate,2003,1.6118022041281155,2.716943676647143,0.903533715251881
Deaths,China,Both,70-74 years,Diarrheal diseases,Rate,2003,2.962554571898947,4.844581738764196,1.6626268076819353
Deaths,China,Both,75-79 years,Diarrheal diseases,Rate,2003,5.202697564585445,8.569650347702925,2.8205200558511367
Deaths,China,Both,80-84 years,Diarrheal diseases,Rate,2003,10.057892212211325,17.339145598223254,5.38047191142648
Deaths,China,Both,85-89 years,Diarrheal diseases,Rate,2003,18.95011824060863,33.766309906974364,10.078247251673554
Deaths,China,Both,90-94 years,Diarrheal diseases,Rate,2003,31.578439887679867,61.8992267423942,14.775991014079613
Deaths,China,Both,15-19 years,Ischemic heart disease,Rate,2003,1.355316208654569,1.505012867351807,1.2188781891665328
Deaths,China,Both,20-24 years,Ischemic heart disease,Rate,2003,2.5499012221582356,2.832180643916738,2.3160464339327604
Deaths,China,Both,25-29 years,Ischemic heart disease,Rate,2003,3.681232572488888,4.04929403329288,3.357254325498817
Deaths,China,Both,30-34 years,Ischemic heart disease,Rate,2003,7.021491171341683,7.699377539910964,6.405383149597928
Deaths,China,Both,35-39 years,Ischemic heart disease,Rate,2003,13.057138318271802,14.49786917883291,11.767632452945195
Deaths,China,Both,40-44 years,Ischemic heart disease,Rate,2003,22.177591256466,24.449683212200597,19.898165298142356
Deaths,China,Both,45-49 years,Ischemic heart disease,Rate,2003,33.59002696805444,37.11988568431459,30.253608671413154
Deaths,China,Both,50-54 years,Ischemic heart disease,Rate,2003,60.33802543217381,66.50308597027283,54.32649278322008
Deaths,China,Both,55-59 years,Ischemic heart disease,Rate,2003,96.62622122161424,107.21235074441074,87.02459597642516
Deaths,China,Both,60-64 years,Ischemic heart disease,Rate,2003,155.07644085730522,169.76881475716357,141.00005254477276
Deaths,China,Both,65-69 years,Ischemic heart disease,Rate,2003,282.62739754705655,308.84335975620786,259.0607385077348
Deaths,China,Both,70-74 years,Ischemic heart disease,Rate,2003,512.5712701023022,556.9553951565779,470.3799392413475
Deaths,China,Both,75-79 years,Ischemic heart disease,Rate,2003,881.953476691133,952.2402517513325,817.3874868623914
Deaths,China,Both,80-84 years,Ischemic heart disease,Rate,2003,1672.8166324871054,1810.3692486315308,1533.176058082801
Deaths,China,Both,85-89 years,Ischemic heart disease,Rate,2003,3175.2713492188846,3428.802128577754,2845.0482930801627
Deaths,China,Both,90-94 years,Ischemic heart disease,Rate,2003,5286.327516637066,5780.136625864751,4567.01943504905
Deaths,China,Both,95+ years,Diarrheal diseases,Rate,2003,43.80209439093381,92.5372098226043,20.297380634350404
Deaths,China,Both,<5 years,Lower respiratory infections,Rate,2003,107.43720816747313,118.42720563224958,96.88169315102428
Deaths,China,Both,5-9 years,Lower respiratory infections,Rate,2003,3.2736693746544807,3.5883445880544396,2.8841111127129686
Deaths,China,Both,10-14 years,Lower respiratory infections,Rate,2003,1.2160861343471858,1.3278331125507101,1.102885500139399
Deaths,China,Both,15-19 years,Lower respiratory infections,Rate,2003,1.135258645412788,1.2508897340313634,1.0140131002540433
Deaths,China,Both,20-24 years,Lower respiratory infections,Rate,2003,1.0219242789210476,1.1349125158709492,0.8978765120235843
Deaths,China,Both,25-29 years,Lower respiratory infections,Rate,2003,0.9949224427389434,1.0964180263829189,0.9010921997227943
Deaths,China,Both,30-34 years,Lower respiratory infections,Rate,2003,1.198498791364886,1.3378295689562119,1.077102821630365
Deaths,China,Both,35-39 years,Lower respiratory infections,Rate,2003,1.5639353393393438,1.7594585392290554,1.41496500420855
Deaths,China,Both,40-44 years,Lower respiratory infections,Rate,2003,1.9834953927056003,2.2413583432398165,1.767975203434192
Deaths,China,Both,45-49 years,Lower respiratory infections,Rate,2003,2.7163497194666677,3.1225733617068516,2.4246777438549163
