x,y,human20_585
14.31,82.29,31.800709
14.38,82.51,31.904072
14.44,82.73,31.88942
14.51,82.94,31.91301
14.57,83.16,31.9057
14.63,83.38,31.919348
14.7,83.6,31.8759
14.76,83.82,31.811935
14.82,84.04,31.747871
14.88,84.25,31.68819
14.94,84.47,31.63476
15,84.69,31.578234
15.06,84.91,31.506218
15.12,85.14,31.442547
15.18,85.36,31.336731
15.24,85.58,31.20128
15.3,85.8,31.032877
15.36,86.02,30.878288
15.41,86.24,30.734863
15.47,86.47,30.60404
15.52,86.69,30.446255
15.58,86.91,30.28625
15.63,87.14,30.116907
15.69,87.36,29.945837
15.74,87.58,29.760336
15.79,87.81,29.573973
15.84,88.03,29.371635
15.9,88.26,29.16733
15.95,88.48,28.966412
16,88.71,28.763874
16.05,88.94,28.548162
16.1,89.16,28.350435
16.14,89.39,28.153397
16.19,89.62,27.97124
16.24,89.84,27.788502
16.29,90.07,27.602398
16.33,90.3,27.400024
16.38,90.53,27.182423
16.42,90.75,26.97678
16.47,90.98,26.793058
16.51,91.21,26.591972
16.55,91.44,26.383804
16.59,91.67,26.173664
16.64,91.9,25.977701
16.68,92.13,25.791441
16.72,92.36,25.611986
16.76,92.59,25.408323
16.8,92.82,25.216703
16.84,93.05,25.040329
16.87,93.28,24.88754
16.91,93.51,24.763245
16.95,93.74,24.633512
16.98,93.98,24.497213
17.02,94.21,24.41194
17.05,94.44,24.193624
17.09,94.67,23.075977
17.12,94.91,23.318094
17.16,95.14,23.553007
17.19,95.37,23.57864
17.22,95.6,23.415257
17.25,95.84,22.664421
17.28,96.07,21.393349
17.31,96.3,20.500034
17.34,96.54,20.427658
17.37,96.77,20.254862
17.4,97.01,20.714205
17.42,97.24,20.802284
17.45,97.48,20.57522
17.47,97.71,21.732573
17.5,97.94,22.496506
17.52,98.18,23.043674
17.55,98.41,22.700928
17.57,98.65,22.771727
17.59,98.89,23.016026
17.62,99.12,23.1524
17.64,99.36,24.484966
17.66,99.59,23.452087
17.68,99.83,23.682829
17.7,100.06,24.407003
17.72,100.3,24.650982
17.73,100.54,25.462023
17.75,100.77,25.43748
17.77,101.01,25.82107
17.78,101.25,26.467829
17.8,101.48,26.465385
17.81,101.72,26.752562
17.83,101.96,27.763355
17.84,102.19,26.804083
17.85,102.43,24.765902
17.87,102.67,24.398287
17.88,102.91,24.154678
17.89,103.14,25.047363
17.9,103.38,25.575764
17.91,103.62,26.94487
17.92,103.85,26.766663
17.92,104.09,26.839727
17.93,104.33,27.938292
17.94,104.57,29.715504
17.94,104.81,29.089361
17.95,105.04,28.787216
17.95,105.28,29.072536
17.96,105.52,29.118145
17.96,105.76,29.300512
17.96,105.99,29.556755
17.97,106.23,30.060274
17.97,106.47,30.849033
17.97,106.71,32.362873
17.97,106.95,33.087067
17.97,107.18,33.34093
17.96,107.42,33.48463
17.96,107.66,33.46934
17.96,107.9,33.350098
17.96,108.13,33.11863
17.95,108.37,32.92779
17.95,108.61,32.798023
17.94,108.85,32.559677
17.94,109.08,32.268284
17.93,109.32,32.078083
17.92,109.56,31.948397
17.91,109.8,31.827217
17.9,110.03,31.638369
17.9,110.27,31.541563
17.89,110.51,31.537962
17.87,110.75,31.407925
17.86,110.98,31.295073
17.85,111.22,31.159412
17.84,111.46,31.082396
17.82,111.7,31.01469
17.81,111.93,30.976046
17.8,112.17,30.949402
17.78,112.41,30.835163
17.76,112.64,30.68976
17.75,112.88,30.551441
17.73,113.11,30.370241
17.71,113.35,30.041515
17.69,113.59,29.597467
17.67,113.82,29.087898
17.65,114.06,28.595715
17.63,114.3,28.185436
17.61,114.53,27.780573
17.59,114.77,27.477158
17.57,115,27.208347
17.54,115.24,26.928442
17.52,115.47,26.69525
17.49,115.71,26.515396
17.47,115.94,26.36781
17.44,116.18,26.253433
17.42,116.41,26.165356
17.39,116.65,26.102932
17.36,116.88,26.086231
17.33,117.11,26.11632
17.3,117.35,26.17441
17.27,117.58,26.264332
17.24,117.81,26.185946
17.21,118.05,26.256449
17.18,118.28,26.528345
17.15,118.51,26.82713
17.11,118.75,27.144207
17.08,118.98,27.328804
17.05,119.21,27.521994
17.01,119.44,28.088778
16.97,119.67,28.30677
16.94,119.91,28.49106
16.9,120.14,28.20242
16.86,120.37,27.282988
16.83,120.6,23.828571
16.79,120.83,22.835878
16.75,121.06,24.0798
16.71,121.29,25.582947
16.67,121.52,25.760939
16.63,121.75,25.62219
16.58,121.98,24.402615
16.54,122.21,25.276508
16.5,122.44,25.955883
16.45,122.67,25.988972
16.41,122.9,25.967916
16.37,123.12,25.699394
16.32,123.35,25.388224
16.27,123.58,25.12021
16.23,123.81,24.86145
16.18,124.03,24.588106
16.13,124.26,24.19447
16.08,124.49,23.74208
16.03,124.71,23.394573
15.98,124.94,23.092915
15.93,125.16,22.814482
15.88,125.39,22.46373
14.52,82.23,31.857817
14.59,82.44,32.013477
14.65,82.66,32.003407
14.72,82.88,32.030758
14.78,83.1,32.029823
14.84,83.31,32.02762
14.91,83.53,31.99382
14.97,83.75,31.97453
15.03,83.97,31.964148
15.1,84.19,31.983912
15.16,84.41,31.971022
15.22,84.63,31.952076
15.28,84.85,31.897022
15.34,85.07,31.88463
15.4,85.3,31.87028
15.46,85.52,31.838459
15.51,85.74,31.739721
15.57,85.96,31.644041
15.63,86.19,31.573362
15.68,86.41,31.542807
15.74,86.63,31.517084
15.79,86.86,31.487331
15.85,87.08,31.393421
15.9,87.3,31.28307
15.96,87.53,31.126154
16.01,87.75,30.953693
16.06,87.98,30.756681
16.11,88.21,30.54764
16.16,88.43,30.336664
16.21,88.66,30.155096
16.26,88.88,29.97863
16.31,89.11,29.826075
16.36,89.34,29.665682
16.41,89.57,29.514332
16.46,89.79,29.358753
16.5,90.02,29.199028
16.55,90.25,28.99393
16.6,90.48,28.795643
16.64,90.71,28.577412
16.69,90.94,28.383558
16.73,91.17,28.154268
16.77,91.4,27.90707
16.81,91.63,27.629332
16.86,91.86,27.366976
16.9,92.09,27.13635
16.94,92.32,26.941507
16.98,92.55,26.720953
17.02,92.78,26.542591
17.06,93.01,26.375639
17.1,93.24,26.23516
17.13,93.47,26.11153
17.17,93.71,26.00509
17.21,93.94,25.856312
17.24,94.17,25.694422
17.28,94.4,25.44406
17.31,94.64,24.088652
17.34,94.87,23.801952
17.38,95.1,24.356535
17.41,95.34,24.359594
17.44,95.57,23.974665
17.47,95.8,22.822338
17.5,96.04,22.864008
