x,y,Country
14.31,82.29,CHN
14.38,82.51,CHN
14.44,82.73,CHN
14.51,82.94,CHN
14.57,83.16,CHN
14.63,83.38,CHN
14.7,83.6,CHN
14.76,83.82,CHN
14.82,84.04,CHN
14.88,84.25,CHN
14.94,84.47,CHN
15,84.69,CHN
15.06,84.91,CHN
15.12,85.14,CHN
15.18,85.36,CHN
15.24,85.58,CHN
15.3,85.8,CHN
15.36,86.02,CHN
15.41,86.24,CHN
15.47,86.47,CHN
15.52,86.69,CHN
15.58,86.91,CHN
15.63,87.14,CHN
15.69,87.36,CHN
15.74,87.58,CHN
15.79,87.81,CHN
15.84,88.03,CHN
15.9,88.26,CHN
15.95,88.48,CHN
16,88.71,CHN
16.05,88.94,CHN
16.1,89.16,CHN
16.14,89.39,CHN
16.19,89.62,CHN
16.24,89.84,CHN
16.29,90.07,CHN
16.33,90.3,CHN
16.38,90.53,CHN
16.42,90.75,CHN
16.47,90.98,CHN
16.51,91.21,CHN
16.55,91.44,CHN
16.59,91.67,CHN
16.64,91.9,CHN
16.68,92.13,CHN
16.72,92.36,CHN
16.76,92.59,CHN
16.8,92.82,CHN
16.84,93.05,CHN
16.87,93.28,CHN
16.91,93.51,CHN
16.95,93.74,CHN
16.98,93.98,CHN
17.02,94.21,CHN
17.05,94.44,CHN
17.09,94.67,CHN
17.12,94.91,CHN
17.16,95.14,CHN
17.19,95.37,CHN
17.22,95.6,CHN
17.25,95.84,CHN
17.28,96.07,CHN
17.31,96.3,CHN
17.34,96.54,CHN
17.37,96.77,CHN
17.4,97.01,CHN
17.42,97.24,CHN
17.45,97.48,CHN
17.47,97.71,CHN
17.5,97.94,CHN
17.52,98.18,CHN
17.55,98.41,CHN
17.57,98.65,CHN
17.59,98.89,CHN
17.62,99.12,CHN
17.64,99.36,CHN
17.66,99.59,CHN
17.68,99.83,CHN
17.7,100.06,CHN
17.72,100.3,CHN
17.73,100.54,CHN
17.75,100.77,CHN
17.77,101.01,CHN
17.78,101.25,CHN
17.8,101.48,CHN
17.81,101.72,CHN
17.83,101.96,CHN
17.84,102.19,CHN
17.85,102.43,CHN
17.87,102.67,CHN
17.88,102.91,CHN
17.89,103.14,CHN
17.9,103.38,CHN
17.91,103.62,CHN
17.92,103.85,CHN
17.92,104.09,CHN
17.93,104.33,CHN
17.94,104.57,CHN
17.94,104.81,CHN
17.95,105.04,CHN
17.95,105.28,CHN
17.96,105.52,CHN
17.96,105.76,CHN
17.96,105.99,CHN
17.97,106.23,CHN
17.97,106.47,CHN
17.97,106.71,CHN
17.97,106.95,CHN
17.97,107.18,CHN
17.96,107.42,CHN
17.96,107.66,CHN
17.96,107.9,CHN
17.96,108.13,CHN
17.95,108.37,CHN
17.95,108.61,CHN
17.94,108.85,CHN
17.94,109.08,CHN
17.93,109.32,CHN
17.92,109.56,CHN
17.91,109.8,CHN
17.9,110.03,CHN
17.9,110.27,CHN
17.89,110.51,CHN
17.87,110.75,CHN
17.86,110.98,CHN
17.85,111.22,CHN
17.84,111.46,CHN
17.82,111.7,CHN
17.81,111.93,CHN
17.8,112.17,CHN
17.78,112.41,CHN
17.76,112.64,CHN
17.75,112.88,CHN
17.73,113.11,CHN
17.71,113.35,CHN
17.69,113.59,CHN
17.67,113.82,CHN
17.65,114.06,CHN
17.63,114.3,CHN
17.61,114.53,CHN
17.59,114.77,CHN
17.57,115,CHN
17.54,115.24,CHN
17.52,115.47,CHN
17.49,115.71,CHN
17.47,115.94,CHN
17.44,116.18,CHN
17.42,116.41,CHN
17.39,116.65,CHN
17.36,116.88,CHN
17.33,117.11,CHN
17.3,117.35,CHN
17.27,117.58,CHN
17.24,117.81,CHN
17.21,118.05,CHN
17.18,118.28,CHN
17.15,118.51,CHN
17.11,118.75,CHN
17.08,118.98,CHN
17.05,119.21,CHN
17.01,119.44,CHN
16.97,119.67,CHN
16.94,119.91,CHN
16.9,120.14,CHN
16.86,120.37,CHN
16.83,120.6,CHN
16.79,120.83,CHN
16.75,121.06,CHN
16.71,121.29,CHN
16.67,121.52,CHN
16.63,121.75,CHN
16.58,121.98,CHN
16.54,122.21,CHN
16.5,122.44,CHN
16.45,122.67,CHN
16.41,122.9,CHN
16.37,123.12,CHN
16.32,123.35,CHN
16.27,123.58,CHN
16.23,123.81,CHN
16.18,124.03,CHN
16.13,124.26,CHN
16.08,124.49,CHN
16.03,124.71,CHN
15.98,124.94,CHN
15.93,125.16,CHN
15.88,125.39,CHN
14.52,82.23,CHN
14.59,82.44,CHN
14.65,82.66,CHN
14.72,82.88,CHN
14.78,83.1,CHN
14.84,83.31,CHN
14.91,83.53,CHN
14.97,83.75,CHN
15.03,83.97,CHN
15.1,84.19,CHN
15.16,84.41,CHN
15.22,84.63,CHN
15.28,84.85,CHN
15.34,85.07,CHN
15.4,85.3,CHN
15.46,85.52,CHN
15.51,85.74,CHN
15.57,85.96,CHN
15.63,86.19,CHN
15.68,86.41,CHN
15.74,86.63,CHN
15.79,86.86,CHN
15.85,87.08,CHN
15.9,87.3,CHN
15.96,87.53,CHN
16.01,87.75,CHN
16.06,87.98,CHN
16.11,88.21,CHN
16.16,88.43,CHN
16.21,88.66,CHN
16.26,88.88,CHN
16.31,89.11,CHN
16.36,89.34,CHN
16.41,89.57,CHN
16.46,89.79,CHN
16.5,90.02,CHN
16.55,90.25,CHN
16.6,90.48,CHN
16.64,90.71,CHN
16.69,90.94,CHN
16.73,91.17,CHN
16.77,91.4,CHN
16.81,91.63,CHN
16.86,91.86,CHN
16.9,92.09,CHN
16.94,92.32,CHN
16.98,92.55,CHN
17.02,92.78,CHN
17.06,93.01,CHN
17.1,93.24,CHN
17.13,93.47,CHN
17.17,93.71,CHN
17.21,93.94,CHN
17.24,94.17,CHN
17.28,94.4,CHN
17.31,94.64,CHN
17.34,94.87,CHN
17.38,95.1,CHN
17.41,95.34,CHN
17.44,95.57,CHN
17.47,95.8,CHN
17.5,96.04,CHN
17.53,96.27,CHN
17.56,96.51,CHN
17.59,96.74,CHN
17.62,96.98,CHN
17.65,97.21,CHN
17.67,97.45,CHN
17.7,97.68,CHN
17.72,97.92,CHN
17.75,98.15,CHN
17.77,98.39,CHN
17.8,98.63,CHN
17.82,98.86,CHN
17.84,99.1,CHN
17.86,99.33,CHN
17.88,99.57,CHN
17.9,99.81,CHN
17.92,100.04,CHN
17.94,100.28,CHN
17.96,100.52,CHN
17.98,100.76,CHN
17.99,100.99,CHN
18.01,101.23,CHN
18.02,101.47,CHN
18.04,101.71,CHN
18.05,101.94,CHN
18.07,102.18,CHN
18.08,102.42,CHN
18.09,102.66,CHN
18.1,102.89,CHN
18.11,103.13,CHN
18.12,103.37,CHN
18.13,103.61,CHN
18.14,103.85,CHN
18.15,104.08,CHN
18.16,104.32,CHN
18.16,104.56,CHN
18.17,104.8,CHN
18.18,105.04,CHN
18.18,105.28,CHN
18.18,105.51,CHN
18.19,105.75,CHN
18.19,105.99,CHN
18.19,106.23,CHN
18.19,106.47,CHN
18.19,106.71,CHN
18.19,106.95,CHN
18.19,107.18,CHN
18.19,107.42,CHN
18.19,107.66,CHN
18.19,107.9,CHN
18.18,108.14,CHN
18.18,108.38,CHN
18.17,108.61,CHN
18.17,108.85,CHN
18.16,109.09,CHN
18.16,109.33,CHN
18.15,109.57,CHN
18.14,109.81,CHN
18.13,110.04,CHN
18.12,110.28,CHN
18.11,110.52,CHN
18.1,110.76,CHN
18.09,111,CHN
18.08,111.23,CHN
18.06,111.47,CHN
18.05,111.71,CHN
18.04,111.95,CHN
18.02,112.18,CHN
18.01,112.42,CHN
17.99,112.66,CHN
17.97,112.9,CHN
17.95,113.13,CHN
17.94,113.37,CHN
17.92,113.61,CHN
17.9,113.84,CHN
17.88,114.08,CHN
17.86,114.32,CHN
17.84,114.55,CHN
17.81,114.79,CHN
17.79,115.03,CHN
17.77,115.26,CHN
17.74,115.5,CHN
17.72,115.73,CHN
17.69,115.97,CHN
17.67,116.2,CHN
17.64,116.44,CHN
17.61,116.67,CHN
17.58,116.91,CHN
17.56,117.14,CHN
17.53,117.38,CHN
17.5,117.61,CHN
17.47,117.85,CHN
17.43,118.08,CHN
17.4,118.31,CHN
17.37,118.55,CHN
17.34,118.78,CHN
17.3,119.01,CHN
17.27,119.25,CHN
17.23,119.48,CHN
17.2,119.71,CHN
17.16,119.94,CHN
17.12,120.18,CHN
17.09,120.41,CHN
17.05,120.64,CHN
17.01,120.87,CHN
16.97,121.1,CHN
16.93,121.33,CHN
16.89,121.56,CHN
16.85,121.79,CHN
16.8,122.02,CHN
16.76,122.25,CHN
16.72,122.48,CHN
16.67,122.71,CHN
16.63,122.94,CHN
16.58,123.17,CHN
16.54,123.4,CHN
16.49,123.63,CHN
16.45,123.86,CHN
16.4,124.08,CHN
16.35,124.31,CHN
16.3,124.54,CHN
16.25,124.76,CHN
16.2,124.99,CHN
16.15,125.22,CHN
16.1,125.44,CHN
14.73,82.16,CHN
14.8,82.37,CHN
14.86,82.59,CHN
14.93,82.81,CHN
14.99,83.03,CHN
15.06,83.25,CHN
15.12,83.47,CHN
15.18,83.69,CHN
15.25,83.91,CHN
15.31,84.13,CHN
15.37,84.35,CHN
15.43,84.57,CHN
15.49,84.79,CHN
15.55,85.01,CHN
15.61,85.23,CHN
15.67,85.46,CHN
15.73,85.68,CHN
15.79,85.9,CHN
15.84,86.13,CHN
15.9,86.35,CHN
15.95,86.57,CHN
16.01,86.8,CHN
16.06,87.02,CHN
16.12,87.25,CHN
16.17,87.47,CHN
16.23,87.7,CHN
16.28,87.93,CHN
16.33,88.15,CHN
16.38,88.38,CHN
16.43,88.61,CHN
16.48,88.83,CHN
16.53,89.06,CHN
16.58,89.29,CHN
16.63,89.52,CHN
16.68,89.74,CHN
16.72,89.97,CHN
16.77,90.2,CHN
16.82,90.43,CHN
16.86,90.66,CHN
16.91,90.89,CHN
16.95,91.12,CHN
16.99,91.35,CHN
17.04,91.58,CHN
17.08,91.81,CHN
17.12,92.04,CHN
17.16,92.28,CHN
17.2,92.51,CHN
17.24,92.74,CHN
17.28,92.97,CHN
17.32,93.2,CHN
17.35,93.44,CHN
17.39,93.67,CHN
17.43,93.9,CHN
17.46,94.13,CHN
17.5,94.37,CHN
17.53,94.6,CHN
17.57,94.84,CHN
17.6,95.07,CHN
17.63,95.3,CHN
17.67,95.54,CHN
17.7,95.77,CHN
17.73,96.01,CHN
17.76,96.24,CHN
17.79,96.48,CHN
17.82,96.71,CHN
17.84,96.95,CHN
17.87,97.18,CHN
17.9,97.42,CHN
17.92,97.66,CHN
17.95,97.89,CHN
17.97,98.13,CHN
18,98.37,CHN
18.02,98.6,CHN
18.04,98.84,CHN
18.07,99.08,CHN
18.09,99.31,CHN
18.11,99.55,CHN
18.13,99.79,CHN
18.15,100.02,CHN
18.17,100.26,CHN
18.18,100.5,CHN
18.2,100.74,CHN
18.22,100.98,CHN
18.24,101.21,CHN
18.25,101.45,CHN
18.27,101.69,CHN
18.28,101.93,CHN
18.29,102.17,CHN
18.31,102.41,CHN
18.32,102.64,CHN
18.33,102.88,CHN
18.34,103.12,CHN
18.35,103.36,CHN
18.36,103.6,CHN
18.37,103.84,CHN
18.38,104.08,CHN
18.38,104.32,CHN
18.39,104.55,CHN
18.4,104.79,CHN
18.4,105.03,CHN
18.41,105.27,CHN
18.41,105.51,CHN
18.41,105.75,CHN
18.42,105.99,CHN
18.42,106.23,CHN
18.42,106.47,CHN
18.42,106.71,CHN
18.42,106.95,CHN
18.42,107.19,CHN
18.42,107.42,CHN
18.42,107.66,CHN
18.41,107.9,CHN
18.41,108.14,CHN
18.41,108.38,CHN
18.4,108.62,CHN
18.39,108.86,CHN
18.39,109.1,CHN
18.38,109.34,CHN
18.37,109.58,CHN
18.37,109.82,CHN
18.36,110.05,CHN
18.35,110.29,CHN
18.34,110.53,CHN
18.33,110.77,CHN
18.31,111.01,CHN
18.3,111.25,CHN
18.29,111.49,CHN
18.28,111.72,CHN
18.26,111.96,CHN
18.25,112.2,CHN
18.23,112.44,CHN
18.21,112.68,CHN
18.2,112.91,CHN
18.18,113.15,CHN
18.16,113.39,CHN
18.14,113.63,CHN
18.12,113.87,CHN
18.1,114.1,CHN
18.08,114.34,CHN
18.06,114.58,CHN
18.04,114.81,CHN
18.02,115.05,CHN
17.99,115.29,CHN
17.97,115.52,CHN
17.94,115.76,CHN
17.92,116,CHN
17.89,116.23,CHN
17.86,116.47,CHN
17.84,116.7,CHN
17.81,116.94,CHN
17.78,117.17,CHN
17.75,117.41,CHN
17.72,117.64,CHN
17.69,117.88,CHN
17.66,118.11,CHN
17.62,118.35,CHN
17.59,118.58,CHN
17.56,118.82,CHN
17.52,119.05,CHN
17.49,119.28,CHN
17.45,119.52,CHN
17.42,119.75,CHN
17.38,119.98,CHN
17.34,120.22,CHN
17.31,120.45,CHN
17.27,120.68,CHN
17.23,120.91,CHN
17.19,121.14,CHN
17.15,121.38,CHN
17.11,121.61,CHN
17.07,121.84,CHN
17.02,122.07,CHN
16.98,122.3,CHN
16.94,122.53,CHN
16.89,122.76,CHN
16.85,122.99,CHN
16.8,123.22,CHN
16.76,123.45,CHN
16.71,123.68,CHN
16.66,123.91,CHN
16.62,124.13,CHN
16.57,124.36,CHN
16.52,124.59,CHN
16.47,124.82,CHN
16.42,125.04,CHN
16.37,125.27,CHN
16.32,125.5,CHN
14.94,82.09,CHN
15.01,82.31,CHN
15.07,82.52,CHN
15.14,82.74,CHN
15.2,82.96,CHN
15.27,83.18,CHN
15.33,83.4,CHN
15.4,83.62,CHN
15.46,83.84,CHN
15.52,84.06,CHN
15.58,84.28,CHN
15.64,84.51,CHN
15.71,84.73,CHN
15.77,84.95,CHN
15.82,85.17,CHN
