x,y,human20_585
14.31,82.29,0
14.38,82.51,0
14.44,82.73,0
14.51,82.94,0
14.57,83.16,0
14.63,83.38,0
14.7,83.6,0
14.76,83.82,0
14.82,84.04,0
14.88,84.25,0
14.94,84.47,0
15,84.69,0
15.06,84.91,0
15.12,85.14,0
15.18,85.36,0
15.24,85.58,0
15.3,85.8,0
15.36,86.02,0
15.41,86.24,0
15.47,86.47,0
15.52,86.69,0
15.58,86.91,0
15.63,87.14,0
15.69,87.36,0
15.74,87.58,0
15.79,87.81,0
15.84,88.03,0
15.9,88.26,0
15.95,88.48,0
16,88.71,0
16.05,88.94,0
16.1,89.16,0
16.14,89.39,0
16.19,89.62,0
16.24,89.84,
16.29,90.07,
16.33,90.3,
16.38,90.53,
16.42,90.75,
16.47,90.98,
16.51,91.21,
16.55,91.44,
16.59,91.67,
16.64,91.9,
16.68,92.13,
16.72,92.36,
16.76,92.59,
16.8,92.82,
16.84,93.05,
16.87,93.28,
16.91,93.51,
16.95,93.74,
16.98,93.98,
17.02,94.21,
17.05,94.44,
17.09,94.67,50408.79216
17.12,94.91,130989.2336
17.16,95.14,157200.093
17.19,95.37,159053.0644
17.22,95.6,89924.36074
17.25,95.84,109835.2868
17.28,96.07,129368.6627
17.31,96.3,95659.34362
17.34,96.54,132938.905
17.37,96.77,107181.3159
17.4,97.01,62797.96888
17.42,97.24,67234.50982
17.45,97.48,16921.09865
17.47,97.71,13516.00698
17.5,97.94,15666.49161
17.52,98.18,13517.14601
17.55,98.41,11130.0256
17.57,98.65,15181.7102
17.59,98.89,24538.90719
17.62,99.12,25900.07293
17.64,99.36,26329.75837
17.66,99.59,19431.16433
17.68,99.83,57498.40983
17.7,100.06,84286.58656
17.72,100.3,19595.97475
17.73,100.54,11045.6247
17.75,100.77,9092.051914
17.77,101.01,18694.13136
17.78,101.25,17681.75072
17.8,101.48,36615.52348
17.81,101.72,29553.28161
17.83,101.96,21381.22845
17.84,102.19,63249.6294
17.85,102.43,555106.1941
17.87,102.67,159410.3588
