domain,agegroup,human20_585
CHN,0,0.053138
CHN,5,0.050278
CHN,10,0.052694
CHN,15,0.056921
CHN,20,0.073771
CHN,25,0.094586
CHN,30,0.075059
CHN,35,0.071845
CHN,40,0.085899
CHN,45,0.09106
CHN,50,0.076651
CHN,55,0.056252
CHN,60,0.057429
CHN,65,0.039924
CHN,70,0.026698
CHN,75,0.019697
CHN,80,0.011997
CHN,85,0.004708
CHN,90,0.001167
CHN,95,0.00023
PRK,0,0.068378
PRK,5,0.064552
PRK,10,0.068665
PRK,15,0.076213
PRK,20,0.084308
PRK,25,0.079629
PRK,30,0.072996
PRK,35,0.070188
PRK,40,0.080259
PRK,45,0.081364
PRK,50,0.066615
PRK,55,0.050922
PRK,60,0.03905
PRK,65,0.031575
PRK,70,0.029819
PRK,75,0.020502
PRK,80,0.00978
PRK,85,0.003897
PRK,90,0.00109
PRK,95,0.000196
missing,0,0.04505
missing,5,0.041683
missing,10,0.049467
missing,15,0.063619
missing,20,0.068252
missing,25,0.067421
missing,30,0.080556
missing,35,0.086158
missing,40,0.075784
missing,45,0.07818
missing,50,0.079567
missing,55,0.07385
missing,60,0.06461
missing,65,0.041545
missing,70,0.028708
missing,75,0.023885
missing,80,0.016424
missing,85,0.010032
missing,90,0.003962
missing,95,0.001246
KHM,0,0.112307
KHM,5,0.102783
KHM,10,0.09807
KHM,15,0.098573
KHM,20,0.099853
KHM,25,0.093184
KHM,30,0.07967
KHM,35,0.06151
KHM,40,0.050974
KHM,45,0.049196
KHM,50,0.044231
KHM,55,0.035455
KHM,60,0.025982
KHM,65,0.019054
KHM,70,0.012684
KHM,75,0.008578
KHM,80,0.004955
KHM,85,0.002184
KHM,90,0.000633
KHM,95,0.000125
IDN,0,0.085183
IDN,5,0.092433
IDN,10,0.093135
IDN,15,0.08812
IDN,20,0.082847
IDN,25,0.08095
IDN,30,0.082058
IDN,35,0.07964
IDN,40,0.072752
IDN,45,0.063421
IDN,50,0.053034
IDN,55,0.042106
IDN,60,0.030886
IDN,65,0.021294
IDN,70,0.014696
IDN,75,0.009492
IDN,80,0.005117
IDN,85,0.002143
IDN,90,0.00057
IDN,95,0.000122
LAO,0,0.116375
LAO,5,0.107261
LAO,10,0.108128
LAO,15,0.106774
LAO,20,0.100813
LAO,25,0.091387
LAO,30,0.077096
LAO,35,0.063479
LAO,40,0.053109
LAO,45,0.045342
LAO,50,0.038633
LAO,55,0.030347
LAO,60,0.021885
LAO,65,0.015305
LAO,70,0.010634
LAO,75,0.007119
LAO,80,0.003962
LAO,85,0.001683
LAO,90,0.000549
LAO,95,0.000121
MYS,0,0.083419
MYS,5,0.085916
MYS,10,0.088335
MYS,15,0.09371
MYS,20,0.097197
MYS,25,0.096687
MYS,30,0.085757
MYS,35,0.070776
MYS,40,0.061055
MYS,45,0.054304
MYS,50,0.049124
MYS,55,0.041296
MYS,60,0.032936
MYS,65,0.024556
MYS,70,0.01534
MYS,75,0.010476
MYS,80,0.005394
MYS,85,0.002874
MYS,90,0.000692
MYS,95,0.000156
MDV,0,0.096464
MDV,5,0.077641
MDV,10,0.068181
MDV,15,0.077448
MDV,20,0.107599
MDV,25,0.129351
MDV,30,0.115514
MDV,35,0.084663
MDV,40,0.062976
MDV,45,0.050818
MDV,50,0.040615
MDV,55,0.029349
MDV,60,0.019225
MDV,65,0.012567
MDV,70,0.01043
MDV,75,0.008453
MDV,80,0.005556
MDV,85,0.002339
MDV,90,0.000657
MDV,95,0.000153
MMR,0,0.097685
MMR,5,0.094728
MMR,10,0.096565
MMR,15,0.092996
MMR,20,0.086277
MMR,25,0.08138
MMR,30,0.076641
MMR,35,0.070659
MMR,40,0.064612
MMR,45,0.057888
MMR,50,0.050208
MMR,55,0.041085
MMR,60,0.032306
MMR,65,0.02114
MMR,70,0.014812
MMR,75,0.010201
MMR,80,0.006474
MMR,85,0.003222
MMR,90,0.000924
MMR,95,0.000196
PHL,0,0.118088
PHL,5,0.106742
PHL,10,0.102794
PHL,15,0.099945
PHL,20,0.092851
PHL,25,0.08185
PHL,30,0.071931
PHL,35,0.066077
PHL,40,0.057278
PHL,45,0.051588
PHL,50,0.043123
PHL,55,0.034897
PHL,60,0.026675
PHL,65,0.018489
PHL,70,0.011816
PHL,75,0.00829
PHL,80,0.004522
PHL,85,0.00216
PHL,90,0.000737
PHL,95,0.000146
LKA,0,0.07971
LKA,5,0.084791
LKA,10,0.082859
LKA,15,0.078145
LKA,20,0.07564
LKA,25,0.071633
LKA,30,0.077144
LKA,35,0.073463
LKA,40,0.065627
LKA,45,0.063138
LKA,50,0.05982
LKA,55,0.05397
