domain,agegroup,endpoint,human20_585
AFG,0,LC,NA
AFG,0,LRI,207.218582
AFG,0,STROKE,NA
AFG,0,IHD,NA
AFG,0,NCD,298.748505
AFG,0,COPD,0.341031
AFG,0,NCD+LRI,505.967102
AFG,5,LC,NA
AFG,5,LRI,9.979362
AFG,5,STROKE,NA
AFG,5,IHD,NA
AFG,5,NCD,26.635468
AFG,5,COPD,0.326804
AFG,5,NCD+LRI,36.61483
AFG,10,LC,0.031363
AFG,10,LRI,5.464176
AFG,10,STROKE,NA
AFG,10,IHD,NA
AFG,10,NCD,24.175688
AFG,10,COPD,0.315585
AFG,10,NCD+LRI,29.639864
AFG,15,LC,0.108519
AFG,15,LRI,3.576462
AFG,15,STROKE,NA
AFG,15,IHD,2.821888
AFG,15,NCD,34.627403
AFG,15,COPD,0.96253
AFG,15,NCD+LRI,38.203865
AFG,20,LC,0.231336
AFG,20,LRI,4.132613
AFG,20,STROKE,NA
AFG,20,IHD,4.980682
AFG,20,NCD,48.226467
AFG,20,COPD,1.577578
AFG,20,NCD+LRI,52.359081
AFG,25,LC,0.432129
AFG,25,LRI,5.103398
AFG,25,STROKE,NA
AFG,25,IHD,11.436992
AFG,25,NCD,72.354668
AFG,25,COPD,1.789923
AFG,25,NCD+LRI,77.458069
AFG,30,LC,1.128651
AFG,30,LRI,6.362447
AFG,30,STROKE,NA
AFG,30,IHD,26.613913
AFG,30,NCD,114.218071
AFG,30,COPD,2.69765
AFG,30,NCD+LRI,120.580521
AFG,35,LC,2.32513
AFG,35,LRI,8.275608
AFG,35,STROKE,NA
AFG,35,IHD,54.183861
AFG,35,NCD,203.799576
AFG,35,COPD,4.308151
AFG,35,NCD+LRI,212.07518
AFG,40,LC,4.781052
AFG,40,LRI,11.360686
AFG,40,STROKE,NA
AFG,40,IHD,119.164291
AFG,40,NCD,380.01004
AFG,40,COPD,7.232833
AFG,40,NCD+LRI,391.370728
AFG,45,LC,10.468785
AFG,45,LRI,15.737885
AFG,45,STROKE,NA
AFG,45,IHD,230.645493
AFG,45,NCD,653.096497
AFG,45,COPD,14.472159
AFG,45,NCD+LRI,668.834351
AFG,50,LC,18.693314
AFG,50,LRI,18.838449
AFG,50,STROKE,NA
AFG,50,IHD,380.226471
AFG,50,NCD,1078.527466
AFG,50,COPD,28.001764
AFG,50,NCD+LRI,1097.365967
AFG,55,LC,27.882671
AFG,55,LRI,29.815992
AFG,55,STROKE,NA
AFG,55,IHD,585.032532
AFG,55,NCD,1676.675293
AFG,55,COPD,51.771011
AFG,55,NCD+LRI,1706.491333
AFG,60,LC,44.880501
AFG,60,LRI,68.466248
AFG,60,STROKE,NA
AFG,60,IHD,833.1651
AFG,60,NCD,2476.865234
AFG,60,COPD,90.278328
AFG,60,NCD+LRI,2545.331543
AFG,65,LC,60.407593
AFG,65,LRI,112.744797
AFG,65,STROKE,NA
AFG,65,IHD,1179.304932
AFG,65,NCD,3577.610596
AFG,65,COPD,143.648193
AFG,65,NCD+LRI,3690.355469
AFG,70,LC,82.564034
AFG,70,LRI,210.774292
AFG,70,STROKE,NA
AFG,70,IHD,1712.985229
AFG,70,NCD,5314.605469
AFG,70,COPD,234.343002
AFG,70,NCD+LRI,5525.379883
AFG,75,LC,99.995842
AFG,75,LRI,361.95752
AFG,75,STROKE,NA
AFG,75,IHD,2487.226318
AFG,75,NCD,7879.240234
AFG,75,COPD,370.224457
AFG,75,NCD+LRI,8241.197266
AFG,80,LC,105.585052
AFG,80,LRI,607.387939
AFG,80,STROKE,NA
AFG,80,IHD,3683.505127
AFG,80,NCD,11697.85742
AFG,80,COPD,557.669861
AFG,80,NCD+LRI,12305.24512
AFG,85,LC,118.807274
AFG,85,LRI,1024.561157
AFG,85,STROKE,NA
AFG,85,IHD,5562.403809
AFG,85,NCD,17423.39648
AFG,85,COPD,862.572937
AFG,85,NCD+LRI,18447.95703
AFG,90,LC,111.865616
AFG,90,LRI,1428.720337
AFG,90,STROKE,NA
AFG,90,IHD,7976.009766
AFG,90,NCD,24677.10742
AFG,90,COPD,1148.11084
AFG,90,NCD+LRI,26105.82813
AFG,95,LC,106.365715
AFG,95,LRI,1881.360474
AFG,95,STROKE,NA
AFG,95,IHD,10962.12695
AFG,95,NCD,33908.43359
AFG,95,COPD,1515.377075
AFG,95,NCD+LRI,35789.79297
ALB,0,LC,NA
ALB,0,LRI,40.211269
ALB,0,STROKE,NA
ALB,0,IHD,NA
ALB,0,NCD,103.652092
ALB,0,COPD,0.393953
ALB,0,NCD+LRI,143.863358
ALB,5,LC,NA
ALB,5,LRI,3.240766
ALB,5,STROKE,NA
ALB,5,IHD,NA
ALB,5,NCD,22.632225
ALB,5,COPD,0.084383
ALB,5,NCD+LRI,25.872992
ALB,10,LC,0.176863
ALB,10,LRI,1.610382
ALB,10,STROKE,NA
ALB,10,IHD,NA
ALB,10,NCD,16.71468
ALB,10,COPD,0.071563
ALB,10,NCD+LRI,18.325062
ALB,15,LC,0.45976
ALB,15,LRI,1.126302
ALB,15,STROKE,NA
ALB,15,IHD,2.400275
ALB,15,NCD,20.165628
ALB,15,COPD,0.073907
ALB,15,NCD+LRI,21.291931
ALB,20,LC,1.024855
ALB,20,LRI,1.201925
ALB,20,STROKE,NA
ALB,20,IHD,5.302351
ALB,20,NCD,33.919682
ALB,20,COPD,0.155742
ALB,20,NCD+LRI,35.121609
ALB,25,LC,1.32658
ALB,25,LRI,1.171646
ALB,25,STROKE,NA
ALB,25,IHD,8.362924
